IP,Name,New_Server,Old_ACL,Updated,Site
192.168.6.244,YH-BLADE-NEURO,150,,,YDH
192.168.6.242,WDist01-1,150,,,YDH
192.168.6.232,YH-RADIOLOGY,150,,,YDH
192.168.6.231,YH-AE,150,,,YDH
192.168.6.230,YH-THEATRES-GND,150,,,YDH
192.168.6.229,YH-THEATRES-RCP,150,,,YDH
192.168.6.228,YH-WARDS11-14,150,,,YDH
192.168.6.227,YH-WARDS25-29,150,,,YDH
192.168.6.226,YH-WARDS15-19,150,,,YDH
192.168.6.225,YH-WARDS35-39,150,,,YDH
192.168.6.220,YH-98UnionTce,150,,,YDH
192.168.6.211,YH-NEUROSCIENCES,150,,,YDH
192.168.6.210,YH-PHYSIO,150,,,YDH
192.168.6.209,YH-RENAL,150,,,YDH
192.168.6.208,YH-DIETICIANS,150,,,YDH
192.168.6.207,YH-G2-G3,150,,,YDH
192.168.6.206,YH-ANTENATAL,150,,,YDH
192.168.6.205,YH-MEDICAL-RECORDS,150,,,YDH
192.168.6.204,YH-HEAD-NECK,150,,,YDH
192.168.6.202,YH-PARKHOUSE-1ST,150,,,YDH
192.168.6.201,YH-PARKHOUSE-2ND,150,,,YDH
192.168.6.200,YH-PURCHASING,150,,,YDH
192.168.6.199,YH-ESTATES,150,,,YDH
192.168.6.198,YH-PATHOLOGY-1ST,150,,,YDH
192.168.6.197,YH-PATHOLOGY-2ND,150,,,YDH
192.168.6.196,YH-PATHOLOGY-3RD,150,,,YDH
192.168.6.195,YH-CDC,150,,,YDH
192.168.6.194,YH-ADMIN-4TH,150,,,YDH
192.168.6.193,YH-OPD-1ST,150,,,YDH
192.168.6.192,YH-ARCHWAYS,150,,,YDH
192.168.6.191,YH-PHARMACY,150,,,YDH
192.168.6.190,YH-HYMS,150,,,YDH
192.168.6.187,YH-ADMIN-GND,150,,,YDH
192.168.6.186,YH-ADMIN-2ND,150,,,YDH
192.168.6.185,YH-ADMIN-3RD,150,,,YDH
192.168.6.184,YH-CLINICAL-CODING,150,,,YDH
192.168.6.181,YH-EYES,150,,,YDH
192.168.6.179,YH-BSU,150,,,YDH
192.168.6.177,YH-PARKHOUSE-GND,150,,,YDH
192.168.6.175,YH-WARDS31-34,150,,,YDH
192.168.6.170,YH-CRITICAL-CARE,150,,,YDH
192.168.6.165,Bootham-Chapel-Switch-Stack,,,,YDH
192.168.6.164,YH-ADMIN-5TH,150,,,YDH
192.168.6.163,Vascular-Imaging,150,,,YDH
192.168.6.158,PH-Capital-Planning-PortaCabins,,,,YDH
192.168.6.157,YH-MRI,150,,,YDH
192.168.6.153,YH-CARPARK,150,,,YDH
192.168.6.151,YH-ENDOSCOPY,150,,,YDH
192.168.6.149,YH-ED-CARPARK,150,,,YDH
192.168.6.100,YH-WARDS21-24,150,,,YDH
192.168.6.169,YH-MEDREC-SW-01,150,,,YDH
192.168.23.1,St-Leonards-DF1-fundraising,150,,,YDH
192.168.23.2,St-Leonards-DF-Sw2,150,,,YDH
192.168.41.254,192.168.186.169,150,,,YDH
192.168.186.169,YH-MEDREC-SW-01,150,,,YDH
192.168.187.73,Cornlands_HC_Sw1,150,,,YDH
192.168.188.10,Clifton_HC_Sw,150,,,YDH
192.168.188.43,St-Helens-DF1,150,,,YDH
192.168.188.44,St-Helens-DF2,150,,,YDH
192.168.188.113,St-Monicas-2960X,150,,,YDH
192.168.188.114,St-Monicas-MSK-2960X,150,,,YDH
192.168.188.121,EW-RENAL-CAB1-SW,150,,,YDH
192.168.188.177,Tang_Hall_HC_sw,150,,,YDH
192.168.189.77,MG-CAB3-SW,150,,,YDH
192.168.189.65,MG-CAB2-SW,150,,,YDH
192.168.189.69,MG-CAB1-SW,150,,,YDH
192.168.191.59,Occupational_Health,150,,,YDH
192.168.191.71,Remote-Finance-Purchasing,150,,,YDH
192.168.209.61,YH-PHYSIO-CABIN,150,,,YDH
192.168.254.10,YH-PH-SetupRoom,,,YDH
192.168.99.240,SC-PABX-ISR-01,150,,,SCH
192.168.99.239,SC-NEWCOMP-ISR-02,150,,,SCH
192.168.99.201,SC-COMPRM-ASR-01,150,,,SCH
192.168.99.200,SC-NURSES-ASR-01,150,,,SCH
192.168.99.88,SC-PABX-VGC-BUS-01,150,,,SCH
192.168.99.40,SC-PORTACABINFLR2-IAS-01,150,,,SCH
192.168.99.37,SC-MORTUARY-IAS-01,150,,,SCH
192.168.99.36,SC-HAWORTH-IAS-01,150,,,SCH
192.168.99.35,SC-CCTV-Switch-IAS-01,150,,,SCH
192.168.99.34,SC-CCUMONITORS-IAS-01,150,,,SCH
192.168.99.33,SC-CHILDPHYSIO-IAS-01,150,,,SCH
192.168.99.32,SC-NEWMAPLE-IAS-01,150,,,SCH
192.168.99.31,SC-NEWHYMS-IAS-01,150,,,SCH
192.168.99.30,SC-MATERNITY-IAS-01,150,,,SCH
192.168.99.29,SC-ENDO-IAS-01,150,,,SCH
192.168.99.28,SC-NEWTHEATRE-IAS-01,150,,,SCH
192.168.99.27,SC-HYMS-IAS-01,150,,,SCH
192.168.99.26,SC-DOMESTIC-IAS-01,150,,,SCH
192.168.99.25,SC-PHARMACY-IAS-01,150,,,SCH
192.168.99.23,SC-CSSD-IAS-01,150,,,SCH
192.168.99.22,SC-HOLLY-IAS-01,150,,,SCH
192.168.99.21,SC-PORTACABIN-IAS-01,150,,,SCH
192.168.99.20,SC-PHYSIO-IAS-01,150,,,SCH
192.168.99.19,SC-OUTPATIENT-IAS-01,150,,,SCH
192.168.99.18,SC-CCU-IAS-01,150,,,SCH
192.168.99.17,SC-STORES-IAS-01,150,,,SCH
192.168.99.16,SC-ESTATES-IAS-01,150,,,SCH
192.168.99.15,SC-PGRAD-IAS-01,150,,,SCH
192.168.99.14,SC-LEARNING-IAS-01,150,,,SCH
192.168.99.13,SC-PABX-IAS-01,150,,,SCH
192.168.99.11,SC-NURSES01-IAS-01,150,,,SCH
192.168.99.10,SC-NURSES00-IAS-01,150,,,SCH
192.168.99.9,SC-OLDCOMP-IAS-01,150,,,SCH
192.168.99.8,SC-ADMIN-IAS-01,150,,,SCH
192.168.99.7,SC-PHOTO-IAS-01,150,,,SCH
192.168.99.6,SC-PATH-IAS-01,150,,,SCH
192.168.99.5,SC-MEDENG-IAS-01,150,,,SCH
192.168.99.4,SC-CLEANERS-IAS-01,150,,,SCH
192.168.99.3,SC-RADIOLOGY-IAS-01,150,,,SCH
192.168.99.2,SC-THEATRE-IAS-01,150,,,SCH
192.168.99.1,SC-SCBU-IAS-01,150,,,SCH
10.38.0.12,Malton-Router,150,,,SCH
10.38.0.9,Malton-ASw-CR-01,150,,,SCH
10.38.0.253,MCH-Comms-POEPlus,150,,,SCH
10.38.0.10,Malton-AS-01-WardsStack,150,,,SCH
10.198.36.18,Brid-Mobile-Theatre,150,,,SCH
10.198.36.20,Brid-Outpatients,150,,,SCH
10.198.36.22,H2-Access-Switch1,150,,,SCH
10.198.36.24,Bridlington-H4-and-Outpatients,,,,SCH
10.198.36.26,Brid-Estates-Sw1,150,,,SCH
10.198.36.26,Bridlington-CommsRm-Switch1,,,,SCH
10.198.36.30,SC-Brid-Router,150,,,SCH
192.168.6.165,,150,,,YDH
192.168.6.164,,150,,,YDH
192.168.6.163,,150,,,YDH
192.168.6.162,,150,,,YDH
192.168.6.161,,150,,,YDH
192.168.6.160,,150,,,YDH
192.168.6.159,,150,,,YDH
192.168.6.158,,150,,,YDH
192.168.6.157,,150,,,YDH
192.168.6.156,,150,,,YDH
192.168.6.155,,150,,,YDH
192.168.6.154,,150,,,YDH
192.168.6.153,,150,,,YDH
192.168.6.152,,150,,,YDH
192.168.6.151,,150,,,YDH
192.168.6.150,,150,,,YDH
192.168.6.149,,150,,,YDH
192.168.6.148,,150,,,YDH
192.168.6.147,,150,,,YDH
192.168.6.146,,150,,,YDH
192.168.6.145,,150,,,YDH
192.168.6.144,,150,,,YDH
192.168.6.143,,150,,,YDH
192.168.6.142,,150,,,YDH
192.168.6.141,,150,,,YDH
192.168.6.140,,150,,,YDH
192.168.6.139,,150,,,YDH
192.168.6.138,,150,,,YDH
192.168.6.137,,150,,,YDH
192.168.6.136,,150,,,YDH
192.168.6.135,,150,,,YDH
192.168.6.134,,150,,,YDH
192.168.6.133,,150,,,YDH
192.168.6.132,,150,,,YDH
192.168.6.131,,150,,,YDH
192.168.6.130,,150,,,YDH
192.168.6.129,,150,,,YDH
192.168.6.128,,150,,,YDH
192.168.6.127,,150,,,YDH
192.168.6.126,,150,,,YDH
192.168.6.125,,150,,,YDH
192.168.6.124,,150,,,YDH
192.168.6.123,,150,,,YDH
192.168.6.122,,150,,,YDH
192.168.6.121,,150,,,YDH
192.168.6.120,,150,,,YDH
192.168.6.119,,150,,,YDH
192.168.6.118,,150,,,YDH
192.168.6.117,,150,,,YDH
192.168.6.116,,150,,,YDH
192.168.6.115,,150,,,YDH
192.168.6.114,,150,,,YDH
192.168.6.113,,150,,,YDH
192.168.6.112,,150,,,YDH
192.168.6.111,,150,,,YDH
192.168.6.110,,150,,,YDH
192.168.6.109,,150,,,YDH
192.168.6.108,,150,,,YDH
192.168.6.107,,150,,,YDH
192.168.6.106,,150,,,YDH
192.168.6.105,,150,,,YDH
192.168.6.104,,150,,,YDH
192.168.6.103,,150,,,YDH
192.168.6.102,,150,,,YDH
192.168.6.101,,150,,,YDH
192.168.6.100,,150,,,YDH
192.168.6.99,,150,,,YDH
192.168.6.98,,150,,,YDH
192.168.6.97,,150,,,YDH
192.168.6.96,,150,,,YDH
192.168.6.95,,150,,,YDH
192.168.6.94,,150,,,YDH
192.168.6.93,,150,,,YDH
192.168.6.92,,150,,,YDH
192.168.6.91,,150,,,YDH
192.168.6.90,,150,,,YDH
192.168.6.89,,150,,,YDH
192.168.6.88,,150,,,YDH
192.168.6.87,,150,,,YDH
192.168.6.86,,150,,,YDH
192.168.6.85,,150,,,YDH
